0.000 INFO  /explore_debug_logger: explore_debug_logger: writing /home/abhijit/catkin_ws/src/team2_delivery/explore_debug.log
0.109 WARN  /move_base: global_costmap: Pre-Hydro parameter "static_map" unused since "plugins" is provided
0.113 INFO  /move_base: global_costmap: Using plugin "static_layer"
0.135 INFO  /move_base: Requesting the map...
0.210 INFO  /slam_gmapping: Laser is mounted upwards.
0.215 INFO  /slam_gmapping: Initialization complete
0.335 INFO  /move_base: Resizing costmap to 384 X 384 at 0.050000 m/pix
0.435 INFO  /move_base: Received a 384 X 384 map at 0.050000 m/pix
0.435 INFO  /move_base: Subscribing to updates
0.445 INFO  /move_base: global_costmap: Using plugin "obstacles"
0.452 INFO  /move_base:     Subscribed to Topics: laser
0.478 INFO  /move_base: global_costmap: Using plugin "inflation"
0.541 WARN  /move_base: local_costmap: Pre-Hydro parameter "static_map" unused since "plugins" is provided
0.543 INFO  /move_base: local_costmap: Using plugin "obstacles"
0.548 INFO  /move_base:     Subscribed to Topics: laser
0.567 INFO  /move_base: local_costmap: Using plugin "inflation"
0.618 INFO  /move_base: Created local_planner dwa_local_planner/DWAPlannerROS
0.622 INFO  /move_base: Sim period is set to 0.08
1.041 INFO  /explore: Waiting to connect to move_base server
1.110 INFO  /move_base: Recovery behavior will clear layer 'obstacles'
1.114 INFO  /move_base: Recovery behavior will clear layer 'obstacles'
1.161 INFO  /move_base: odom received!
1.415 INFO  /explore: Connected to move_base server
5.501 INFO  /move_base: Got new plan
6.502 INFO  /move_base: Got new plan
7.501 INFO  /move_base: Got new plan
8.501 INFO  /move_base: Got new plan
9.501 INFO  /move_base: Got new plan
9.584 INFO  /move_base: Got new plan
10.502 INFO  /move_base: Got new plan
11.584 INFO  /move_base: Got new plan
12.502 INFO  /move_base: Got new plan
13.584 INFO  /move_base: Got new plan
14.584 INFO  /move_base: Got new plan
17.585 INFO  /move_base: Got new plan
18.584 INFO  /move_base: Got new plan
19.584 INFO  /move_base: Got new plan
20.585 INFO  /move_base: Got new plan
29.584 INFO  /move_base: Got new plan
30.584 INFO  /move_base: Got new plan
31.588 INFO  /move_base: Got new plan
32.584 INFO  /move_base: Got new plan
33.501 INFO  /move_base: Got new plan
34.501 INFO  /move_base: Got new plan
35.501 INFO  /move_base: Got new plan
36.501 INFO  /move_base: Got new plan
37.502 INFO  /move_base: Got new plan
37.584 INFO  /move_base: Got new plan
38.584 INFO  /move_base: Got new plan
39.584 INFO  /move_base: Got new plan
40.584 INFO  /move_base: Got new plan
41.501 INFO  /move_base: Got new plan
42.418 INFO  /move_base: Got new plan
43.501 INFO  /move_base: Got new plan
44.502 INFO  /move_base: Got new plan
45.418 INFO  /move_base: Got new plan
45.501 INFO  /move_base: Got new plan
46.501 INFO  /move_base: Got new plan
46.922 WARN  /move_base: DWA planner failed to produce path.
47.001 INFO  /move_base: Got new plan
47.007 WARN  /move_base: DWA planner failed to produce path.
47.084 INFO  /move_base: Got new plan
48.084 INFO  /move_base: Got new plan
49.084 INFO  /move_base: Got new plan
49.584 INFO  /move_base: Got new plan
50.584 INFO  /move_base: Got new plan
51.584 INFO  /move_base: Got new plan
52.584 INFO  /move_base: Got new plan
53.584 INFO  /move_base: Got new plan
54.584 INFO  /move_base: Got new plan
55.584 INFO  /move_base: Got new plan
56.584 INFO  /move_base: Got new plan
57.584 INFO  /move_base: Got new plan
58.584 INFO  /move_base: Got new plan
59.502 INFO  /move_base: Got new plan
60.502 INFO  /move_base: Got new plan
61.501 INFO  /move_base: Got new plan
62.502 INFO  /move_base: Got new plan
63.501 INFO  /move_base: Got new plan
64.501 INFO  /move_base: Got new plan
65.501 INFO  /move_base: Got new plan
65.584 INFO  /move_base: Got new plan
66.584 INFO  /move_base: Got new plan
67.584 INFO  /move_base: Got new plan
68.584 INFO  /move_base: Got new plan
69.584 INFO  /move_base: Got new plan
70.585 INFO  /move_base: Got new plan
71.584 INFO  /move_base: Got new plan
72.584 INFO  /move_base: Got new plan
73.584 INFO  /move_base: Got new plan
74.584 INFO  /move_base: Got new plan
75.584 INFO  /move_base: Got new plan
76.584 INFO  /move_base: Got new plan
77.584 INFO  /move_base: Got new plan
78.584 INFO  /move_base: Got new plan
79.585 INFO  /move_base: Got new plan
80.584 INFO  /move_base: Got new plan
81.585 INFO  /move_base: Got new plan
82.585 INFO  /move_base: Got new plan
83.584 INFO  /move_base: Got new plan
84.584 INFO  /move_base: Got new plan
85.585 INFO  /move_base: Got new plan
86.584 INFO  /move_base: Got new plan
87.584 INFO  /move_base: Got new plan
88.584 INFO  /move_base: Got new plan
89.584 INFO  /move_base: Got new plan
90.584 INFO  /move_base: Got new plan
91.584 INFO  /move_base: Got new plan
92.584 INFO  /move_base: Got new plan
93.585 INFO  /move_base: Got new plan
94.585 INFO  /move_base: Got new plan
95.584 INFO  /move_base: Got new plan
96.584 INFO  /move_base: Got new plan
97.585 INFO  /move_base: Got new plan
98.584 INFO  /move_base: Got new plan
99.584 INFO  /move_base: Got new plan
100.585 INFO  /move_base: Got new plan
101.584 INFO  /move_base: Got new plan
102.585 INFO  /move_base: Got new plan
103.584 INFO  /move_base: Got new plan
104.584 INFO  /move_base: Got new plan
105.585 INFO  /move_base: Got new plan
106.584 INFO  /move_base: Got new plan
107.585 INFO  /move_base: Got new plan
108.584 INFO  /move_base: Got new plan
109.584 INFO  /move_base: Got new plan
110.584 INFO  /move_base: Got new plan
111.585 INFO  /move_base: Got new plan
112.584 INFO  /move_base: Got new plan
113.584 INFO  /move_base: Got new plan
114.584 INFO  /move_base: Got new plan
115.584 INFO  /move_base: Got new plan
116.585 INFO  /move_base: Got new plan
117.586 INFO  /move_base: Got new plan
118.584 INFO  /move_base: Got new plan
119.584 INFO  /move_base: Got new plan
120.584 INFO  /move_base: Got new plan
121.585 INFO  /move_base: Got new plan
122.584 INFO  /move_base: Got new plan
123.584 INFO  /move_base: Got new plan
124.584 INFO  /move_base: Got new plan
125.584 INFO  /move_base: Got new plan
126.584 INFO  /move_base: Got new plan
127.584 INFO  /move_base: Got new plan
128.585 INFO  /move_base: Got new plan
129.584 INFO  /move_base: Got new plan
130.585 INFO  /move_base: Got new plan
131.584 INFO  /move_base: Got new plan
132.584 INFO  /move_base: Got new plan
133.584 INFO  /move_base: Got new plan
134.585 INFO  /move_base: Got new plan
135.585 INFO  /move_base: Got new plan
136.585 INFO  /move_base: Got new plan
